layer,context_condition,mean,median,count
0,ambig,-4503.05,-12928.0,20
0,disambig,-4911.8,-12429.5,20
1,ambig,-4554.0,-19222.5,20
1,disambig,-454.65,-13720.0,20
2,ambig,250.5,-3331.0,20
2,disambig,3380.65,-3546.0,20
3,ambig,-5039.05,-5165.0,20
3,disambig,2289.3,-2942.0,20
4,ambig,1565.3,4777.0,20
4,disambig,5629.25,4381.5,20
5,ambig,-13928.1,-9955.0,20
5,disambig,-12954.95,-12197.5,20
6,ambig,-10481.7,7993.5,20
6,disambig,-8159.3,5276.5,20
7,ambig,-5328.25,3573.0,20
7,disambig,-4220.15,4901.0,20
8,ambig,-691.3,-1135.5,20
8,disambig,-421.2,1075.5,20
9,ambig,9924.1,8468.0,20
9,disambig,10818.75,9403.0,20
10,ambig,5030.55,-3081.0,20
10,disambig,7871.35,-1611.0,20
11,ambig,1616.6,-1540.5,20
11,disambig,4616.2,6940.5,20
12,ambig,1623.65,-1646.0,20
12,disambig,3380.7,513.0,20
13,ambig,2113.4,-8073.5,20
13,disambig,4451.65,-6573.5,20
14,ambig,-8671.8,-24087.5,20
14,disambig,-4771.8,-16774.0,20
15,ambig,-34639.15,-59838.5,20
15,disambig,-31487.6,-35291.0,20
16,ambig,-40646.5,-40016.5,20
16,disambig,-39750.65,-29940.5,20
17,ambig,-39269.15,-45595.5,20
17,disambig,-35605.45,-33060.0,20
18,ambig,-40863.55,-84755.5,20
18,disambig,-36649.8,-70248.5,20
19,ambig,-26213.1,-18310.5,20
19,disambig,-18262.25,-14271.5,20
20,ambig,-12718.5,-7121.0,20
20,disambig,-6877.15,-3445.5,20
21,ambig,-11865.35,-4177.0,20
21,disambig,-7421.0,-845.5,20
22,ambig,-8648.65,-5404.0,20
22,disambig,-5260.2,-2219.5,20
