layer,question_polarity,mean,median,count
0,neg,-5041.65,-12819.0,20
0,nonneg,-4373.2,-11914.5,20
1,neg,-3011.9,-16011.0,20
1,nonneg,-1996.75,-17873.5,20
2,neg,1321.6,-2161.5,20
2,nonneg,2309.55,-3647.0,20
3,neg,-1770.35,-3693.0,20
3,nonneg,-979.4,-3481.5,20
4,neg,3110.75,4660.0,20
4,nonneg,4083.8,4955.0,20
5,neg,-13279.0,-10859.5,20
5,nonneg,-13604.05,-11324.0,20
6,neg,-9364.95,5336.0,20
6,nonneg,-9276.05,6628.5,20
7,neg,-4516.05,4220.0,20
7,nonneg,-5032.35,4443.5,20
8,neg,-916.1,1075.5,20
8,nonneg,-196.4,-304.0,20
9,neg,9858.2,8945.0,20
9,nonneg,10884.65,8876.5,20
10,neg,6035.1,-2416.0,20
10,nonneg,6866.8,-1741.5,20
11,neg,2327.2,3241.0,20
11,nonneg,3905.6,-1471.0,20
12,neg,2556.65,273.0,20
12,nonneg,2447.7,-1906.0,20
13,neg,3450.35,-3685.5,20
13,nonneg,3114.7,-11708.0,20
14,neg,-5932.9,-17057.5,20
14,nonneg,-7510.7,-24930.5,20
15,neg,-30269.55,-43307.5,20
15,nonneg,-35857.2,-60917.0,20
16,neg,-36313.3,-37025.5,20
16,nonneg,-44083.85,-44545.5,20
17,neg,-34234.7,-37734.0,20
17,nonneg,-40639.9,-51659.5,20
18,neg,-35179.65,-78435.5,20
18,nonneg,-42333.7,-82339.5,20
19,neg,-20517.0,-14279.0,20
19,nonneg,-23958.35,-15397.5,20
20,neg,-8204.35,-4116.5,20
20,nonneg,-11391.3,-5519.0,20
21,neg,-8272.65,-3463.0,20
21,nonneg,-11013.7,-2163.5,20
22,neg,-6575.5,-3396.0,20
22,nonneg,-7333.35,-2271.5,20
